id,title,display_date,classification,medium,accession_number,dimensions,publication_info,edition,credit_line,credit_line_repro,artists,artist_ids
13530,"Buddy Gilmore, Paris",c. 1926–1927,Photographs,Platinum print,2001.36,"Sheet: 10 13/16 × 9 5/8 in. (27.5 × 24.4 cm)
Image: 8 1/16 × 5 3/4 in. (20.5 × 14.6 cm)","",,Gift of an anonymous donor,©Berenice Abbott / Commerce Graphics,Berenice Abbott,5208
12062,"Untitled (Foyer of the Whitney Museum of American Art on 8th Street, NYC)",1938,Photographs,Gelatin silver print,99.4,"Sheet: 9 7/8 × 8 in. (25.1 × 20.3 cm)
Image: 9 5/8 × 7 5/8 in. (24.5 × 19.4 cm)","",Vintage,"Purchase, with funds from Joanne Leonhardt Cassullo and the Dorothea L. Leonhardt Fund at the Communities Foundation of Texas",©Berenice Abbott / Commerce Graphics,Berenice Abbott,5208
46475,"Exchange Place, NY",c. 1940,Photographs,Gelatin silver print,P.2014.43,,"",,Promised gift of Sondra Gilman Gonzalez-Falla and Celso Gonzalez-Falla to the Whitney Museum of American Art and The Gilman and Gonzalez-Falla Arts Foundation,,Berenice Abbott,5208
12166,Proust,1997,Prints,Photoetching and aquatint,99.61.1,"Sheet: 20 1/8 × 15 in. (51.1 × 38.1 cm)
Image (irregular): 11 × 11 1/2 in. (27.9 × 29.2 cm)",Printed by Brooklyn Press; published by Maureen Mahony; published by Janis Stemmermann,19/36,"Purchase, with funds from The Horace W. Goldsmith Foundation",,Matthew Abbott,5271
42680,Pochoir,2012,Photographs,Inkjet print mounted on board,2013.29,"Sheet: 37 1/8 × 27 in. (94.3 × 68.6 cm)
Image: 37 1/8 × 27 in. (94.3 × 68.6 cm)
Mount: 37 3/8 × 27 1/4 × 1/8 in. (94.9 × 69.2 × 0.3 cm)","",AP 1/2 | Ed. 5,"Purchase, with funds from the Photography Committee",© Michele Abeles,Michele Abeles,14325
42676,Re:Re:Re:Re:Re:Re:Re:,2012,Photographs,Inkjet print,2014.13,"Sheet: 37 1/8 × 26 15/16 in. (94.3 × 68.4 cm)
Image: 37 1/8 × 41 in. (94.3 × 104.1 cm)
Mount: 37 3/8 × 27 3/16 × 1/8 in. (94.9 × 69.1 × 0.3 cm)","",5/5,"Purchase, with funds from Joanne Leonhardt Cassullo and Elizabeth Kabler",© Michele Abeles,Michele Abeles,14325
47033,Watches #15,2014,Photographs,Inkjet print,2015.111,"Sheet (sight): 42 7/8 × 28 3/4 in. (108.9 × 73 cm)
Image (sight): 42 7/8 × 28 3/4 in. (108.9 × 73 cm)","",4/5,"Purchase, with funds from the Henry Nias Foundation",© Michele Abeles,Michele Abeles,14325
19956,Morning,1965,Prints,Etching,2004.698,"Sheet: 16 7/16 × 13 in. (41.8 × 33 cm)
Plate: 10 9/16 × 6 15/16 in. (26.9 × 17.6 cm)",Printed by Impressions Workshop; published by Associated American Artists,174/250,Gift of the Neifeld-Russak Families,,Sigmund Abeles,5270
12162,Vietnam Series: Helicopters,1967,Prints,Etching and aquatint,99.58,"Sheet: 29 1/2 × 20 15/16 in. (74.9 × 53.2 cm)
Plate: 23 9/16 × 15 7/16 in. (59.9 × 39.2 cm)",Printed by Impressions Workshop; published by Artists Against Racism and the War,47/50,Gift of Milton Leitenberg,,Sigmund Abeles,5270
8421,Wonders of our Time,1937,Prints,Lithograph,93.80,"Sheet: 16 1/8 × 23 5/8 in. (41 × 60 cm)
Image: 11 9/16 × 15 1/16 in. (29.4 × 38.3 cm)",Published by WPA/FAP--New York Project,Ed. 50,"Purchase, with funds from the Print Committee",© Estate of Ida Abelman,Ida Abelman,3957
